"AbsoluteTime","Phase","Step","Loop","Iteration","Change_count","Total_distance","Frequency","CPU_Usage","RSZ","SWAP","Cumul_pflts","Temperature","IO_Kbps"
1677434609606,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434610844,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434612083,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434613322,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434614559,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434615796,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,83000,0
1677434617043,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434618280,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434619519,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434620757,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434621996,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434623233,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434624470,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434625708,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434626946,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434628183,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434629421,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434630660,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434631897,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434633134,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434634371,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434635609,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434636847,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434638084,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434639324,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434640561,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434641799,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434643037,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434644275,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434645512,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434646749,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434647987,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
1677434649226,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434650472,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434651710,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434652948,*,*,*,*,*,*,*,93.8,1152.9m,0.4m,6055,76000,0
1677434654186,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434655425,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434656662,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434657900,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434659139,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434660377,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434661614,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,75000,0
1677434662852,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434664089,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434665328,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,77000,0
1677434666567,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434667805,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434669043,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434670280,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434671519,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434672758,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,76000,0
1677434673996,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434675234,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434676473,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434677711,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434678948,*,*,*,*,*,*,*,93.3,1152.9m,0.4m,6055,78000,0
1677434680192,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434681430,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434682668,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,74000,0
1677434683906,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434685144,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434686383,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,78000,0
1677434687620,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434688857,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,72000,0
1677434690095,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,76000,0
1677434691334,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,77000,0
1677434692571,*,*,*,*,*,*,*,100.0,1152.9m,0.4m,6055,73000,0
