AbsoluteTime,Phase,Step,Loop,Iteration,Frequency,CPU_Usage,RSZ,SWAP,Cumul_pflts,Temperature,Read_Kbps,Write_Kbps
1676837650295,*,*,*,*,2837391,,,,,,,
1676837650496,*,*,*,*,2865194,,,,,,,
1676837650695,*,*,*,*,2836612,,,,,,,
1676837650895,*,*,*,*,2874333,,,,,,,
1676837651096,*,*,*,*,2519180,,,,,,,
1676837651151,*,*,*,*,*,26.7,232.5m,0:00:00,0,55000,93552.13,
1676837651296,*,*,*,*,2686681,,,,,,,
1676837651496,*,*,*,*,2479997,,,,,,,
1676837651697,*,*,*,*,2128195,,,,,,,
1676837651896,*,*,*,*,2120778,,,,,,,
1676837652100,*,*,*,*,1966516,,,,,,,
1676837652301,*,*,*,*,1500815,,,,,,,
1676837652421,*,*,*,*,*,33.3,354.4m,0:00:00,0,56000,68457.03,
1676837652503,*,*,*,*,1256786,,,,,,,
1676837652703,*,*,*,*,2242189,,,,,,,
1676837652912,*,*,*,*,963307,,,,,,,
1676837653111,*,*,*,*,799731,,,,,,,
1676837653296,*,*,*,*,1572302,,,,,,,
1676837653503,*,*,*,*,2367218,,,,,,,
1676837653711,*,*,*,*,816508,,,,,,,
1676837653751,*,*,*,*,*,0.0,433.3m,0:00:00,0,50000,57636.29,
1676837653908,*,*,*,*,1010656,,,,,,,
1676837654097,*,*,*,*,2257139,,,,,,,
1676837654310,*,*,*,*,1348697,,,,,,,
1676837654511,*,*,*,*,799906,,,,,,,
1676837654696,*,*,*,*,1559112,,,,,,,
1676837654906,*,*,*,*,1805223,,,,,,,
1676837655064,*,*,*,*,*,53.3,518.7m,0:00:00,0,49000,63641.63,
1676837655111,*,*,*,*,1058465,,,,,,,
1676837655307,*,*,*,*,1412704,,,,,,,
1676837655496,*,*,*,*,2121231,,,,,,,
1676837655701,*,*,*,*,1574422,,,,,,,
1676837655904,*,*,*,*,1296738,,,,,,,
1676837656096,*,*,*,*,1756268,,,,,,,
1676837656295,*,*,*,*,2867059,,,,,,,
1676837656415,*,*,*,*,*,100.0,616.9m,0:00:00,0,75000,0.00,
1676837656496,*,*,*,*,2843487,,,,,,,
1676837656696,*,*,*,*,2763592,,,,,,,
1676837656895,*,*,*,*,2854977,,,,,,,
1676837657095,*,*,*,*,2874054,,,,,,,
1676837657295,*,*,*,*,2871757,,,,,,,
1676837657496,*,*,*,*,2874221,,,,,,,
1676837657684,*,*,*,*,*,100.0,657.9m,0:00:00,0,76000,0.00,
1676837657699,*,*,*,*,2840377,,,,,,,
1676837657899,*,*,*,*,2823040,,,,,,,
1676837658096,*,*,*,*,2826580,,,,,,,
1676837658296,*,*,*,*,2872568,,,,,,,
1676837658495,*,*,*,*,2876411,,,,,,,
1676837658695,*,*,*,*,2853130,,,,,,,
1676837658896,*,*,*,*,2871136,,,,,,,
1676837658957,*,*,*,*,*,100.0,698.1m,0:00:00,0,76000,0.00,
1676837659096,*,*,*,*,2816817,,,,,,,
1676837659295,*,*,*,*,2794564,,,,,,,
1676837659496,*,*,*,*,2861996,,,,,,,
1676837659695,*,*,*,*,2851588,,,,,,,
1676837659895,*,*,*,*,2875670,,,,,,,
1676837660098,*,*,*,*,2802654,,,,,,,
1676837660219,*,*,*,*,*,100.0,738.8m,0:00:00,0,76000,11084.73,
1676837660295,*,*,*,*,2836977,,,,,,,
1676837660495,*,*,*,*,2790829,,,,,,,
1676837660696,*,*,*,*,2860384,,,,,,,
1676837660896,*,*,*,*,2868438,,,,,,,
1676837661095,*,*,*,*,2867094,,,,,,,
1676837661297,*,*,*,*,2869079,,,,,,,
1676837661496,*,*,*,*,*,20.0,389.7m,0:00:00,0,60000,91969.38,
1676837661499,*,*,*,*,2693874,,,,,,,
1676837661699,*,*,*,*,2666273,,,,,,,
1676837661898,*,*,*,*,2191977,,,,,,,
1676837662109,*,*,*,*,2052135,,,,,,,
1676837662297,*,*,*,*,2366460,,,,,,,
1676837662497,*,*,*,*,2294858,,,,,,,
1676837662697,*,*,*,*,2292415,,,,,,,
1676837662774,*,*,*,*,*,26.7,515.0m,0:00:00,0,55000,62224.87,
1676837662896,*,*,*,*,2230732,,,,,,,
1676837663097,*,*,*,*,2317133,,,,,,,
1676837663297,*,*,*,*,2094353,,,,,,,
1676837663498,*,*,*,*,2095236,,,,,,,
1676837663707,*,*,*,*,2097996,,,,,,,
1676837663911,*,*,*,*,799795,,,,,,,
